category,model,make,year,count
1 - Category 1 Truck,Mercury,Mariner Hybrid FWD,2008,2
1 - Category 1 Truck,Mercury,Mariner Hybrid FWD,2009,192
1 - Category 1 Truck,Mercury,Mariner Hybrid FWD,2010,10
1 - Category 1 Truck,Mercury,Milan,2009,11
1 - Category 1 Truck,Mercury,Milan,2010,27
1 - Category 1 Truck,Mercury,Milan AWD,2008,1
1 - Category 1 Truck,Mercury,Milan FFV,2010,3
1 - Category 1 Truck,Mercury,Milan Hybrid FWD,2010,6
1 - Category 1 Truck,Mercury,Milan S,2010,8
1 - Category 1 Truck,Mercury,UNLISTED,2010,1
1 - Category 1 Truck,Mitsubishi,Eclipse,2008,1
1 - Category 1 Truck,Mitsubishi,Eclipse,2009,1
1 - Category 1 Truck,Mitsubishi,Eclipse,2010,1
1 - Category 1 Truck,Mitsubishi,Endeavor 2WD,2008,34
1 - Category 1 Truck,Mitsubishi,Endeavor 2WD,2009,2
1 - Category 1 Truck,Mitsubishi,Endeavor 2WD,2010,11
1 - Category 1 Truck,Mitsubishi,Galant,2009,7
1 - Category 1 Truck,Mitsubishi,Lancer,2008,1
1 - Category 1 Truck,Mitsubishi,Lancer,2009,21
1 - Category 1 Truck,Mitsubishi,Lancer,2010,2
1 - Category 1 Truck,Mitsubishi,Lancer Sportback,2009,1
1 - Category 1 Truck,Mitsubishi,Outlander 2WD,2008,15
1 - Category 1 Truck,Mitsubishi,Outlander 2WD,2009,670
1 - Category 1 Truck,Mitsubishi,Outlander 2WD,2010,1
1 - Category 1 Truck,Mitsubishi,Outlander 4WD,2007,1
1 - Category 1 Truck,Mitsubishi,Outlander 4WD,2008,21
1 - Category 1 Truck,Mitsubishi,Outlander 4WD,2009,607
1 - Category 1 Truck,Mitsubishi,Outlander 4WD,2010,4
1 - Category 1 Truck,Mitsubishi,Raider Pickup 2WD,2008,1
1 - Category 1 Truck,Mitsubishi,Raider Pickup 2WD,2009,3
1 - Category 1 Truck,Nissan,Altima,2008,1
1 - Category 1 Truck,Nissan,Altima,2009,149
1 - Category 1 Truck,Nissan,Altima Coupe,2008,1
1 - Category 1 Truck,Nissan,Altima Coupe,2009,57
1 - Category 1 Truck,Nissan,Altima Hybrid,2008,3
1 - Category 1 Truck,Nissan,Altima Hybrid,2009,21
1 - Category 1 Truck,Nissan,Cube,2009,169
1 - Category 1 Truck,Nissan,Frontier 2WD,2008,1
1 - Category 1 Truck,Nissan,Frontier 2WD,2009,109
1 - Category 1 Truck,Nissan,Frontier 2WD,2010,2
1 - Category 1 Truck,Nissan,Frontier 4WD,2008,2
1 - Category 1 Truck,Nissan,Frontier 4WD,2009,12
1 - Category 1 Truck,Nissan,Frontier V6 2WD,2007,1
1 - Category 1 Truck,Nissan,Maxima,2009,8
1 - Category 1 Truck,Nissan,Murano AWD,2009,970
1 - Category 1 Truck,Nissan,Murano FWD,2007,9
1 - Category 1 Truck,Nissan,Murano FWD,2009,686
1 - Category 1 Truck,Nissan,Pathfinder FE 2WD,2009,8
1 - Category 1 Truck,Nissan,Pathfinder FE 2WD,2010,3
1 - Category 1 Truck,Nissan,Quest,2007,4
1 - Category 1 Truck,Nissan,Quest,2008,7
1 - Category 1 Truck,Nissan,Quest,2009,434
1 - Category 1 Truck,Nissan,Rogue AWD,2008,91
1 - Category 1 Truck,Nissan,Rogue AWD,2009,3903
1 - Category 1 Truck,Nissan,Rogue FWD,2008,98
1 - Category 1 Truck,Nissan,Rogue FWD,2009,2528
1 - Category 1 Truck,Nissan,Sentra,2007,1
1 - Category 1 Truck,Nissan,Sentra,2009,35
1 - Category 1 Truck,Nissan,Sentra,2010,1
1 - Category 1 Truck,Nissan,Sentra FE,2009,109
1 - Category 1 Truck,Nissan,Titan FE 2WD FFV,2009,1
1 - Category 1 Truck,Nissan,Versa,2007,1
1 - Category 1 Truck,Nissan,Versa,2008,7
1 - Category 1 Truck,Nissan,Versa,2009,186
1 - Category 1 Truck,Nissan,Versa FE,2009,11
1 - Category 1 Truck,Nissan,Xterra 2WD,2009,13
1 - Category 1 Truck,Pontiac,G3,2010,1
1 - Category 1 Truck,Pontiac,G3 (3-Door),2010,2
1 - Category 1 Truck,Pontiac,G3 (5-Door),2010,4
1 - Category 1 Truck,Pontiac,G3 Wave,2009,18
1 - Category 1 Truck,Pontiac,G3 Wave 5,2009,16
1 - Category 1 Truck,Pontiac,G5,2009,38
1 - Category 1 Truck,Pontiac,G5 GT,2009,6
1 - Category 1 Truck,Pontiac,G5 GT,2010,1
1 - Category 1 Truck,Pontiac,G5 XFE,2008,1
1 - Category 1 Truck,Pontiac,G5 XFE,2009,5
1 - Category 1 Truck,Pontiac,G5/Pursuit,2008,2
1 - Category 1 Truck,Pontiac,G6,2008,2
1 - Category 1 Truck,Pontiac,G6,2009,107
1 - Category 1 Truck,Pontiac,Torrent AWD,2008,16
1 - Category 1 Truck,Pontiac,Torrent AWD,2009,251
1 - Category 1 Truck,Pontiac,Torrent FWD,2007,3
1 - Category 1 Truck,Pontiac,Torrent FWD,2008,24
1 - Category 1 Truck,Pontiac,Torrent FWD,2009,477
1 - Category 1 Truck,Pontiac,Vibe,2007,1
1 - Category 1 Truck,Pontiac,Vibe,2008,1
1 - Category 1 Truck,Pontiac,Vibe,2009,62
1 - Category 1 Truck,Pontiac,Vibe,2010,42
1 - Category 1 Truck,Saturn,Astra 2DR Hatchback,2008,23
1 - Category 1 Truck,Saturn,Astra 2DR Hatchback,2009,2
1 - Category 1 Truck,Saturn,Astra 4DR Hatchback,2008,9
1 - Category 1 Truck,Saturn,Aura,2009,70
1 - Category 1 Truck,Saturn,Aura Hybrid,2009,2
1 - Category 1 Truck,Saturn,Outlook AWD,2008,8
1 - Category 1 Truck,Saturn,Outlook AWD,2009,157
1 - Category 1 Truck,Saturn,Outlook AWD,2010,4
1 - Category 1 Truck,Saturn,Outlook FWD,2008,27
1 - Category 1 Truck,Saturn,Outlook FWD,2009,328
1 - Category 1 Truck,Saturn,Outlook FWD,2010,1
1 - Category 1 Truck,Saturn,SKY,2008,1
1 - Category 1 Truck,Saturn,SKY,2009,2
1 - Category 1 Truck,Saturn,Vue AWD,2008,9
1 - Category 1 Truck,Saturn,Vue AWD,2009,197
1 - Category 1 Truck,Saturn,Vue AWD,2010,1
1 - Category 1 Truck,Saturn,Vue FWD,2008,55
1 - Category 1 Truck,Saturn,Vue FWD,2009,1951
1 - Category 1 Truck,Saturn,Vue FWD,2010,18
1 - Category 1 Truck,Saturn,Vue Hybrid,2008,2
1 - Category 1 Truck,Saturn,Vue Hybrid,2009,309
1 - Category 1 Truck,Saturn,Vue Hybrid,2010,3
1 - Category 1 Truck,Scion,UNLISTED,2010,1
1 - Category 1 Truck,Scion,tC,2009,10
1 - Category 1 Truck,Scion,tC,2010,20
1 - Category 1 Truck,Scion,xB,2008,2
1 - Category 1 Truck,Scion,xB,2009,50
1 - Category 1 Truck,Scion,xB,2010,69
1 - Category 1 Truck,Scion,xD,2008,1
1 - Category 1 Truck,Scion,xD,2009,39
1 - Category 1 Truck,Scion,xD,2010,6
1 - Category 1 Truck,Subaru,Forester AWD,2007,5
1 - Category 1 Truck,Subaru,Forester AWD,2008,7
1 - Category 1 Truck,Subaru,Forester AWD,2009,1596
1 - Category 1 Truck,Subaru,Forester AWD,2010,6229
1 - Category 1 Truck,Subaru,Impreza AWD,2008,6
1 - Category 1 Truck,Subaru,Impreza AWD,2009,56
1 - Category 1 Truck,Subaru,Impreza AWD,2010,5
1 - Category 1 Truck,Subaru,Impreza Wagon/Outback SPT AWD,2008,3
1 - Category 1 Truck,Subaru,Impreza Wagon/Outback SPT AWD,2009,86
1 - Category 1 Truck,Subaru,Impreza Wagon/Outback Sport,2010,18
1 - Category 1 Truck,Subaru,Legacy AWD,2007,1
1 - Category 1 Truck,Subaru,Legacy AWD,2009,21
1 - Category 1 Truck,Subaru,Legacy AWD,2010,38
1 - Category 1 Truck,Subaru,Outback AWD,2007,1
1 - Category 1 Truck,Subaru,Outback Wagon AWD,2007,2
1 - Category 1 Truck,Subaru,Outback Wagon AWD,2008,13
1 - Category 1 Truck,Subaru,Outback Wagon AWD,2009,1167
1 - Category 1 Truck,Subaru,Outback Wagon AWD,2010,3033
1 - Category 1 Truck,Subaru,Tribeca AWD,2008,8
1 - Category 1 Truck,Subaru,Tribeca AWD,2009,213
1 - Category 1 Truck,Subaru,Tribeca AWD,2010,6
1 - Category 1 Truck,Suzuki,Equator 2WD,2009,21
1 - Category 1 Truck,Suzuki,Equator 2WD,2010,1
1 - Category 1 Truck,Suzuki,Equator 4WD,2009,3
1 - Category 1 Truck,Suzuki,Forenza,2008,1
1 - Category 1 Truck,Suzuki,Forenza Wagon,2008,2
1 - Category 1 Truck,Suzuki,Grand Vitara,2008,10
1 - Category 1 Truck,Suzuki,Grand Vitara,2009,351
1 - Category 1 Truck,Suzuki,Grand Vitara 4WD,2009,455
1 - Category 1 Truck,Suzuki,Grand Vitara 4WD,2010,3
1 - Category 1 Truck,Suzuki,Grand Vitara AWD,2008,27
1 - Category 1 Truck,Suzuki,SX4,2009,3
1 - Category 1 Truck,Suzuki,SX4 AWD,2008,3
1 - Category 1 Truck,Suzuki,SX4 AWD,2009,34
1 - Category 1 Truck,Suzuki,SX4 Sedan,2008,2
1 - Category 1 Truck,Suzuki,SX4 Sedan,2009,12
1 - Category 1 Truck,Suzuki,SX4 Sport,2009,11
1 - Category 1 Truck,Suzuki,XL7 AWD,2007,2
1 - Category 1 Truck,Suzuki,XL7 AWD,2008,1
1 - Category 1 Truck,Suzuki,XL7 AWD,2009,144
1 - Category 1 Truck,Suzuki,XL7 FWD,2008,5
1 - Category 1 Truck,Suzuki,XL7 FWD,2009,3
1 - Category 1 Truck,Toyota,4Runner 2WD,2008,16
1 - Category 1 Truck,Toyota,4Runner 2WD,2009,158
1 - Category 1 Truck,Toyota,4Runner 4WD,2009,1
1 - Category 1 Truck,Toyota,Avalon,2009,14
1 - Category 1 Truck,Toyota,Camry,2009,22
1 - Category 1 Truck,Toyota,Camry,2010,335
1 - Category 1 Truck,Toyota,Camry Hybrid,2009,21
1 - Category 1 Truck,Toyota,Camry Hybrid,2010,5
1 - Category 1 Truck,Toyota,Corolla,2009,31
1 - Category 1 Truck,Toyota,Corolla,2010,410
1 - Category 1 Truck,Toyota,FJ Cruiser 2WD,2008,3
1 - Category 1 Truck,Toyota,FJ Cruiser 2WD,2009,25
1 - Category 1 Truck,Toyota,Highlander 2WD,2007,7
1 - Category 1 Truck,Toyota,Highlander 2WD,2008,30
1 - Category 1 Truck,Toyota,Highlander 2WD,2009,3248
1 - Category 1 Truck,Toyota,Highlander 4WD,2007,2
1 - Category 1 Truck,Toyota,Highlander 4WD,2008,31
1 - Category 1 Truck,Toyota,Highlander 4WD,2009,2597
1 - Category 1 Truck,Toyota,Highlander Hybrid 2WD,2007,3
1 - Category 1 Truck,Toyota,Highlander Hybrid 4WD,2007,8
1 - Category 1 Truck,Toyota,Highlander Hybrid 4WD,2008,30
1 - Category 1 Truck,Toyota,Highlander Hybrid 4WD,2009,726
1 - Category 1 Truck,Toyota,Matrix,2009,37
1 - Category 1 Truck,Toyota,Matrix,2010,10
1 - Category 1 Truck,Toyota,Prius,2009,12
1 - Category 1 Truck,Toyota,Prius,2010,218
1 - Category 1 Truck,Toyota,RAV4 2WD,2007,2
1 - Category 1 Truck,Toyota,RAV4 2WD,2008,38
1 - Category 1 Truck,Toyota,RAV4 2WD,2009,6089
1 - Category 1 Truck,Toyota,RAV4 2WD,2010,36
1 - Category 1 Truck,Toyota,RAV4 4WD,2007,20
1 - Category 1 Truck,Toyota,RAV4 4WD,2008,40
1 - Category 1 Truck,Toyota,RAV4 4WD,2009,8418
1 - Category 1 Truck,Toyota,RAV4 4WD,2010,50
1 - Category 1 Truck,Toyota,Sienna 2WD,2008,6
1 - Category 1 Truck,Toyota,Sienna 2WD,2009,261
1 - Category 1 Truck,Toyota,Sienna 2WD,2010,2326
1 - Category 1 Truck,Toyota,Sienna 4WD,2009,31
1 - Category 1 Truck,Toyota,Sienna 4WD,2010,286
1 - Category 1 Truck,Toyota,Tacoma 2WD,2007,21
1 - Category 1 Truck,Toyota,Tacoma 2WD,2008,45
1 - Category 1 Truck,Toyota,Tacoma 2WD,2009,4833
1 - Category 1 Truck,Toyota,Tacoma 2WD,2010,1026
1 - Category 1 Truck,Toyota,Tacoma 4WD,2007,18
1 - Category 1 Truck,Toyota,Tacoma 4WD,2008,41
1 - Category 1 Truck,Toyota,Tacoma 4WD,2009,3885
1 - Category 1 Truck,Toyota,Tacoma 4WD,2010,454
1 - Category 1 Truck,Toyota,Tundra 2WD,2008,2
1 - Category 1 Truck,Toyota,Tundra 2WD,2009,8
1 - Category 1 Truck,Toyota,Tundra 2WD,2010,35
1 - Category 1 Truck,Toyota,Tundra 4WD,2010,13
1 - Category 1 Truck,Toyota,Tundra 4WD FFV,2010,2
1 - Category 1 Truck,Toyota,UNLISTED,2009,5
1 - Category 1 Truck,Toyota,UNLISTED,2010,1
1 - Category 1 Truck,Toyota,Venza,2009,2865
1 - Category 1 Truck,Toyota,Venza AWD,2009,1902
1 - Category 1 Truck,Toyota,Yaris,2007,1
1 - Category 1 Truck,Toyota,Yaris,2008,2
1 - Category 1 Truck,Toyota,Yaris,2009,56
1 - Category 1 Truck,Toyota,Yaris,2010,1
1 - Category 1 Truck,Volkswagen,CC,2009,3
1 - Category 1 Truck,Volkswagen,CC,2010,1
1 - Category 1 Truck,Volkswagen,Eos,2009,8
1 - Category 1 Truck,Volkswagen,GTI,2009,6
1 - Category 1 Truck,Volkswagen,GTI,2010,1
1 - Category 1 Truck,Volkswagen,Jetta,2009,128
1 - Category 1 Truck,Volkswagen,Jetta,2010,12
1 - Category 1 Truck,Volkswagen,Jetta SportWagen,2008,1
1 - Category 1 Truck,Volkswagen,Jetta SportWagen,2009,41
1 - Category 1 Truck,Volkswagen,Jetta SportWagen,2010,6
1 - Category 1 Truck,Volkswagen,New Beetle,2009,4
1 - Category 1 Truck,Volkswagen,New Beetle,2010,1
1 - Category 1 Truck,Volkswagen,New Beetle Convertible,2008,1
1 - Category 1 Truck,Volkswagen,New Beetle Convertible,2009,6
1 - Category 1 Truck,Volkswagen,Passat,2008,1
1 - Category 1 Truck,Volkswagen,Passat,2009,16
1 - Category 1 Truck,Volkswagen,Passat CC,2009,2
1 - Category 1 Truck,Volkswagen,Passat Wagon,2009,5
1 - Category 1 Truck,Volkswagen,Passat Wagon,2010,1
1 - Category 1 Truck,Volkswagen,Rabbit,2009,12
1 - Category 1 Truck,Volkswagen,Routan,2010,6
1 - Category 1 Truck,Volkswagen,Routan FWD,2009,515
1 - Category 1 Truck,Volkswagen,Tiguan,2009,440
1 - Category 1 Truck,Volkswagen,Tiguan,2010,23
1 - Category 1 Truck,Volkswagen,Tiguan 4motion,2009,229
1 - Category 1 Truck,Volkswagen,Tiguan 4motion,2010,13
1 - Category 1 Truck,Volkswagen,Touareg,2009,40
1 - Category 1 Truck,Volvo,C30 FWD,2008,1
1 - Category 1 Truck,Volvo,C30 FWD,2009,2
1 - Category 1 Truck,Volvo,S40 FWD,2009,2
1 - Category 1 Truck,Volvo,S60 FWD,2007,3
1 - Category 1 Truck,Volvo,S60 FWD,2009,15
1 - Category 1 Truck,Volvo,UNLISTED,2009,1
1 - Category 1 Truck,Volvo,UNLISTED,2010,2
1 - Category 1 Truck,Volvo,V50 FWD,2009,2
1 - Category 1 Truck,Volvo,XC 60 AWD,2009,7
1 - Category 1 Truck,Volvo,XC 60 AWD,2010,79
1 - Category 1 Truck,Volvo,XC 60 FWD,2010,10
1 - Category 1 Truck,Volvo,XC 70 AWD,2009,106
1 - Category 1 Truck,Volvo,XC 70 AWD,2010,3
1 - Category 1 Truck,Volvo,XC 90 FWD,2010,15
1 - Category 1 Truck,smart,fortwo convertible,2008,1
1 - Category 1 Truck,smart,fortwo convertible,2009,3
1 - Category 1 Truck,smart,fortwo coupe,2009,17
2 - Category 2 Truck,Acura,MDX 4WD,2007,1
2 - Category 2 Truck,Acura,RDX 4WD,2009,1
2 - Category 2 Truck,Audi,A3 Quattro,2009,1
2 - Category 2 Truck,Audi,A4 Cabriolet,2009,1
2 - Category 2 Truck,Audi,Q5,2010,1
2 - Category 2 Truck,Buick,Enclave AWD,2009,1
2 - Category 2 Truck,Buick,Enclave FWD,2009,4
2 - Category 2 Truck,Buick,Enclave FWD,2010,1
2 - Category 2 Truck,Chevrolet,Avalanche 1500 2WD,2008,1
2 - Category 2 Truck,Chevrolet,Avalanche 1500 2WD,2009,3
2 - Category 2 Truck,Chevrolet,Aveo,2009,1
2 - Category 2 Truck,Chevrolet,Aveo 5,2009,4
2 - Category 2 Truck,Chevrolet,Cobalt,2009,11
2 - Category 2 Truck,Chevrolet,Cobalt XFE,2009,1
2 - Category 2 Truck,Chevrolet,Colorado 2WD,2009,25
2 - Category 2 Truck,Chevrolet,Colorado 4WD,2009,5
2 - Category 2 Truck,Chevrolet,Colorado Cab Chassis inc 4WD,2009,1
2 - Category 2 Truck,Chevrolet,Colorado Crew Cab 2WD,2009,9
2 - Category 2 Truck,Chevrolet,Colorado Crew Cab 4WD,2009,7
2 - Category 2 Truck,Chevrolet,Equinox AWD,2009,6
2 - Category 2 Truck,Chevrolet,Equinox AWD,2010,6
2 - Category 2 Truck,Chevrolet,Equinox FWD,2009,11
2 - Category 2 Truck,Chevrolet,Equinox FWD,2010,11
2 - Category 2 Truck,Chevrolet,Express 1500 2WD Cargo,2010,34
2 - Category 2 Truck,Chevrolet,Express 1500 2WD Passenger,2009,6
2 - Category 2 Truck,Chevrolet,Express 1500 AWD Passenger,2009,2
2 - Category 2 Truck,Chevrolet,HHR FWD,2009,20
2 - Category 2 Truck,Chevrolet,HHR FWD,2010,1
2 - Category 2 Truck,Chevrolet,HHR Panel FWD,2009,4
2 - Category 2 Truck,Chevrolet,Impala,2009,2
2 - Category 2 Truck,Chevrolet,Malibu,2007,1
2 - Category 2 Truck,Chevrolet,Malibu,2009,8
2 - Category 2 Truck,Chevrolet,Malibu,2010,1
2 - Category 2 Truck,Chevrolet,Malibu Hybrid,2009,1
2 - Category 2 Truck,Chevrolet,Silverado 15 Hybrid 2WD,2009,56
2 - Category 2 Truck,Chevrolet,Silverado 15 Hybrid 4WD,2009,48
2 - Category 2 Truck,Chevrolet,Silverado C15 2WD,2007,77
2 - Category 2 Truck,Chevrolet,Silverado C15 2WD,2008,62
2 - Category 2 Truck,Chevrolet,Silverado C15 2WD,2009,8017
2 - Category 2 Truck,Chevrolet,Silverado C15 2WD,2010,27
2 - Category 2 Truck,Chevrolet,Silverado C15 XFE 2WD,2009,145
2 - Category 2 Truck,Chevrolet,Silverado Classic 1500 2WD,2007,1
2 - Category 2 Truck,Chevrolet,Silverado Classic 1500 4WD,2007,3
2 - Category 2 Truck,Chevrolet,Silverado K15 4WD,2007,16
2 - Category 2 Truck,Chevrolet,Silverado K15 4WD,2008,32
2 - Category 2 Truck,Chevrolet,Silverado K15 4WD,2009,6911
2 - Category 2 Truck,Chevrolet,Silverado K15 4WD,2010,3
2 - Category 2 Truck,Chevrolet,Tahoe 1500 2WD,2009,1
2 - Category 2 Truck,Chevrolet,Traverse AWD,2009,9
2 - Category 2 Truck,Chevrolet,Traverse AWD,2010,1
2 - Category 2 Truck,Chevrolet,Traverse FWD,2009,13
2 - Category 2 Truck,Chevrolet,Traverse FWD,2010,2
2 - Category 2 Truck,Chevrolet,UNLISTED,2009,5
2 - Category 2 Truck,Chevrolet,Van 1500 2WD Cargo,2009,648
2 - Category 2 Truck,Chevrolet,Van 1500 AWD Cargo,2009,16
2 - Category 2 Truck,Chevrolet,Van 1500/2500 2WD,2008,25
2 - Category 2 Truck,Chrysler,PT Cruiser,2008,2
2 - Category 2 Truck,Chrysler,PT Cruiser,2009,7
2 - Category 2 Truck,Chrysler,Town and Country,2009,9
2 - Category 2 Truck,Dodge,Avenger,2009,4
2 - Category 2 Truck,Dodge,Caliber,2009,2
2 - Category 2 Truck,Dodge,Caravan/Grand Caravan 2WD,2008,1
2 - Category 2 Truck,Dodge,Caravan/Grand Caravan FWD,2009,15
2 - Category 2 Truck,Dodge,Dakota Pickup 2WD,2007,2
2 - Category 2 Truck,Dodge,Dakota Pickup 2WD,2008,11
2 - Category 2 Truck,Dodge,Dakota Pickup 2WD,2009,294
2 - Category 2 Truck,Dodge,Dakota Pickup 2WD,2010,2
2 - Category 2 Truck,Dodge,Dakota Pickup 4WD,2007,2
2 - Category 2 Truck,Dodge,Dakota Pickup 4WD,2008,7
2 - Category 2 Truck,Dodge,Dakota Pickup 4WD,2009,141
2 - Category 2 Truck,Dodge,Grand Caravan,2010,2
2 - Category 2 Truck,Dodge,Journey 2WD,2009,10
2 - Category 2 Truck,Dodge,Ram 1500 Pickup 2WD,2007,7
2 - Category 2 Truck,Dodge,Ram 1500 Pickup 2WD,2008,54
2 - Category 2 Truck,Dodge,Ram 1500 Pickup 2WD,2009,2830
2 - Category 2 Truck,Dodge,Ram 1500 Pickup 2WD,2010,10
2 - Category 2 Truck,Dodge,Ram 1500 Pickup 4WD,2007,2
2 - Category 2 Truck,Dodge,Ram 1500 Pickup 4WD,2008,11
2 - Category 2 Truck,Dodge,Ram 1500 Pickup 4WD,2009,2290
2 - Category 2 Truck,Dodge,Ram 1500 Pickup 4WD,2010,7
2 - Category 2 Truck,Dodge,UNLISTED,2009,1
2 - Category 2 Truck,Ford,Edge AWD,2009,1
2 - Category 2 Truck,Ford,Edge AWD,2010,2
2 - Category 2 Truck,Ford,Edge FWD,2008,1
2 - Category 2 Truck,Ford,Edge FWD,2009,9
2 - Category 2 Truck,Ford,Edge FWD,2010,6
2 - Category 2 Truck,Ford,Escape 4WD,2008,1
2 - Category 2 Truck,Ford,Escape 4WD,2009,16
2 - Category 2 Truck,Ford,Escape FWD,2008,1
2 - Category 2 Truck,Ford,Escape FWD,2009,26
2 - Category 2 Truck,Ford,Escape FWD,2010,3
2 - Category 2 Truck,Ford,Escape Hybrid FWD,2009,5
2 - Category 2 Truck,Ford,Explorer 2WD,2009,5
2 - Category 2 Truck,Ford,Explorer 2WD,2010,1
2 - Category 2 Truck,Ford,Explorer Sport Trac 2WD,2008,3
2 - Category 2 Truck,Ford,Explorer Sport Trac 2WD,2009,42
2 - Category 2 Truck,Ford,Explorer Sport Trac 2WD,2010,12
2 - Category 2 Truck,Ford,Explorer Sport Trac 4WD,2008,4
2 - Category 2 Truck,Ford,Explorer Sport Trac 4WD,2009,28
2 - Category 2 Truck,Ford,Explorer Sport Trac 4WD,2010,11
2 - Category 2 Truck,Ford,F150 Pickup 2WD,2007,5
2 - Category 2 Truck,Ford,F150 Pickup 2WD,2008,44
2 - Category 2 Truck,Ford,F150 Pickup 2WD,2009,7411
2 - Category 2 Truck,Ford,F150 Pickup 2WD,2010,404
2 - Category 2 Truck,Ford,F150 Pickup 4WD,2007,4
2 - Category 2 Truck,Ford,F150 Pickup 4WD,2008,2
2 - Category 2 Truck,Ford,F150 Pickup 4WD,2009,2763
2 - Category 2 Truck,Ford,F150 Pickup 4WD,2010,231
2 - Category 2 Truck,Ford,F150 Pickup FFV 2WD,2007,1
2 - Category 2 Truck,Ford,F150 Pickup FFV 2WD,2008,7
2 - Category 2 Truck,Ford,F150 Pickup FFV 2WD,2009,896
2 - Category 2 Truck,Ford,F150 Pickup FFV 2WD,2010,105
2 - Category 2 Truck,Ford,F150 Pickup FFV 4WD,2007,1
2 - Category 2 Truck,Ford,F150 Pickup FFV 4WD,2008,19
2 - Category 2 Truck,Ford,F150 Pickup FFV 4WD,2009,2914
2 - Category 2 Truck,Ford,F150 Pickup FFV 4WD,2010,279
2 - Category 2 Truck,Ford,F150 SFE 2WD,2009,110
2 - Category 2 Truck,Ford,Flex AWD,2010,1
2 - Category 2 Truck,Ford,Flex FWD,2009,10
2 - Category 2 Truck,Ford,Flex FWD,2010,5
2 - Category 2 Truck,Ford,Focus FWD,2009,10
2 - Category 2 Truck,Ford,Freestar Cargo Van FWD,2007,1
2 - Category 2 Truck,Ford,Fusion FWD,2009,4
2 - Category 2 Truck,Ford,Fusion FWD,2010,4
2 - Category 2 Truck,Ford,Fusion S FWD,2010,1
2 - Category 2 Truck,Ford,Ranger Pickup 2WD,2007,1
2 - Category 2 Truck,Ford,Ranger Pickup 2WD,2009,78
2 - Category 2 Truck,Ford,Ranger Pickup 4WD,2009,5
2 - Category 2 Truck,Ford,Taurus X FWD,2008,1
2 - Category 2 Truck,Ford,Transit Connect,2010,14
2 - Category 2 Truck,Ford,UNLISTED,2008,2
2 - Category 2 Truck,Ford,UNLISTED,2009,4
2 - Category 2 Truck,GMC,Acadia AWD,2009,4
2 - Category 2 Truck,GMC,Acadia FWD,2009,10
2 - Category 2 Truck,GMC,Acadia FWD,2010,1
2 - Category 2 Truck,GMC,Canyon 2WD,2009,15
2 - Category 2 Truck,GMC,Canyon 4WD,2008,1
2 - Category 2 Truck,GMC,Canyon 4WD,2009,2
2 - Category 2 Truck,GMC,Canyon Crew Cab 2WD,2009,5
2 - Category 2 Truck,GMC,Canyon Crew Cab 4WD,2009,1
2 - Category 2 Truck,GMC,Canyon Crew Cab 4WD,2010,1
2 - Category 2 Truck,GMC,Savana 1500 AWD (cargo),2009,5
2 - Category 2 Truck,GMC,Savana 1500 2WD (cargo),2009,140
2 - Category 2 Truck,GMC,Savana 1500 2WD (cargo),2010,4
2 - Category 2 Truck,GMC,Savana 1500 AWD (cargo),2009,2
2 - Category 2 Truck,GMC,Savana 1500/2500 2WD (cargo),2008,13
2 - Category 2 Truck,GMC,Sierra 15 Hybrid 2WD,2009,25
2 - Category 2 Truck,GMC,Sierra 15 Hybrid 4WD,2009,16
2 - Category 2 Truck,GMC,Sierra C15 2WD,2007,32
2 - Category 2 Truck,GMC,Sierra C15 2WD,2008,35
2 - Category 2 Truck,GMC,Sierra C15 2WD,2009,2566
2 - Category 2 Truck,GMC,Sierra C15 2WD,2010,7
2 - Category 2 Truck,GMC,Sierra C15 XFE 2WD,2009,47
2 - Category 2 Truck,GMC,Sierra Classic 15 Hybrid 4WD,2007,1
2 - Category 2 Truck,GMC,Sierra Classic 1500 2WD,2007,1
2 - Category 2 Truck,GMC,Sierra Classic 1500 4WD,2007,4
2 - Category 2 Truck,GMC,Sierra K15 4WD,2007,4
2 - Category 2 Truck,GMC,Sierra K15 4WD,2008,17
2 - Category 2 Truck,GMC,Sierra K15 4WD,2009,2492
2 - Category 2 Truck,GMC,Sierra K15 4WD,2010,2
2 - Category 2 Truck,GMC,UNLISTED,2009,2
2 - Category 2 Truck,GMC,Yukon 1500 4WD,2009,1
2 - Category 2 Truck,Honda,Accord,2009,3
2 - Category 2 Truck,Honda,CR-V 2WD,2009,3
2 - Category 2 Truck,Honda,CR-V 4WD,2009,10
2 - Category 2 Truck,Honda,Civic,2009,4
2 - Category 2 Truck,Honda,Civic CNG,2009,1
2 - Category 2 Truck,Honda,Element 2WD,2009,1
2 - Category 2 Truck,Honda,Fit,2009,1
2 - Category 2 Truck,Honda,Insight,2010,1
2 - Category 2 Truck,Honda,Odyssey,2009,4
2 - Category 2 Truck,Honda,Odyssey,2010,1
2 - Category 2 Truck,Honda,Pilot 2WD,2010,1
2 - Category 2 Truck,Honda,Pilot 4WD,2010,3
2 - Category 2 Truck,Honda,Ridgeline Truck 4WD,2007,1
2 - Category 2 Truck,Honda,Ridgeline Truck 4WD,2008,7
2 - Category 2 Truck,Honda,Ridgeline Truck 4WD,2009,369
2 - Category 2 Truck,Honda,Ridgeline Truck 4WD,2010,1
2 - Category 2 Truck,Hummer,H3T 4WD,2009,13
2 - Category 2 Truck,Hyundai,Accent,2009,2
