year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage
2017,850000,63982,2,2,1,1,22.7
2019,434999,19500,1,2,1,1,20.3
2015,495000,30000,1,2,1,1,18.6
2016,575000,53000,2,2,1,1,22.54
2017,600000,5000,1,1,1,1,20.14
2015,700000,25000,1,1,1,1,17.01
2016,495000,56832,2,2,1,1,19.87
2020,1560000,20102,2,2,1,1,13.68
2015,480000,43000,1,2,1,1,18.7
2018,660000,74250,2,2,1,1,21.0
2017,490000,57247,1,2,2,1,20.89
2017,800000,52000,2,1,1,1,24.3
2017,1950000,70000,2,1,1,1,16.3
2015,335000,30000,1,1,1,1,20.51
2017,731000,40000,2,1,1,1,22.54
2015,500000,120000,2,1,1,1,26.59
2015,250000,20000,1,1,2,1,21.9
2017,700000,35000,2,1,1,1,25.83
2019,850000,10000,2,1,1,1,22.54
2017,770000,65000,2,1,1,2,25.5
2016,651000,42323,2,2,1,1,21.19
2015,470000,54723,2,2,1,1,25.2
2016,500000,30000,2,1,1,1,27.3
2016,690000,32000,2,2,1,1,25.1
2018,480000,20375,1,2,1,1,20.89
2018,770000,50000,2,1,1,1,24.3
2015,445000,40200,2,2,1,1,21.0
2018,700000,30000,1,1,1,1,18.6
2017,520000,28832,2,2,1,1,23.4
2015,700000,35000,1,1,1,1,16.02
2017,780000,40000,2,1,1,1,24.3
2016,403000,30000,2,1,1,2,17.21
2016,525000,40000,2,1,1,2,26.59
2020,830000,120000,2,1,1,1,15.1
2016,745000,67000,2,1,1,1,15.4
2015,475000,120000,2,1,1,1,23.59
2017,775000,80000,2,1,1,1,24.3
2015,700000,50000,2,1,1,1,20.77
2017,869999,70000,2,1,1,1,21.5
2019,550000,30000,1,1,2,1,23.84
2016,600000,80000,2,1,1,2,26.59
2018,850000,60000,2,1,1,1,22.54
2015,310000,50000,1,1,1,1,19.81
2015,420000,115000,2,1,1,2,26.59
2015,405000,68000,1,1,1,2,20.4
2018,650000,35500,2,1,1,1,28.4
2018,400000,17500,1,1,1,1,20.51
2017,350000,27000,1,1,1,1,23.95
2017,550000,60000,2,1,1,1,24.0
2016,350000,25000,1,1,1,1,20.51
2015,459999,80000,2,1,1,1,26.59
2016,900000,92000,2,1,1,1,21.9
2018,625000,10000,1,1,1,1,21.4
2017,310000,35000,1,1,1,2,24.7
2017,500000,35000,2,1,1,1,28.4
2016,610000,23000,2,1,1,1,24.0
2015,480000,70000,2,1,1,1,24.4
2017,650000,40000,1,1,1,1,18.6
2017,300000,50000,1,1,1,2,24.7
2015,400000,60000,2,1,1,2,24.4
2015,280000,28000,1,1,1,2,22.74
2018,3250000,12000,2,1,2,1,10.91
2019,700000,4500,1,1,1,1,19.5
2017,650000,120000,2,1,1,1,19.87
2015,600000,80000,1,1,2,1,19.0
2017,650000,20000,2,1,1,1,28.4
2018,2900000,49000,2,1,2,1,12.9
2017,450000,6750,1,1,1,1,18.5
2015,650000,26000,1,1,1,1,20.73
2017,430000,52000,1,1,1,1,17.0
2017,1143000,51000,2,1,2,1,17.01
2019,700000,20000,1,1,2,1,22.0
2017,509999,142000,2,1,1,1,18.49
2016,670000,50478,1,1,1,1,15.85
2019,525000,9200,1,1,2,1,23.84
2016,515000,40000,2,1,1,1,19.87
2020,630000,5000,1,1,1,1,21.01
2019,270000,2300,1,1,1,1,22.7
2016,300000,40000,1,1,1,1,22.74
2017,750000,100000,2,1,1,1,24.52
2018,740000,15000,1,1,1,1,17.0
2019,690000,1303,1,2,1,1,17.8
2018,3975000,31800,2,2,2,1,17.01
2019,5150000,20000,1,2,2,1,22.37
2017,3200000,45000,2,2,2,1,19.33
2017,4100000,17000,1,1,2,1,9.5
2018,590000,10000,1,1,1,1,18.9
2017,775000,35000,2,1,1,1,16.55
2015,350000,58500,1,1,1,1,18.5
2018,575000,20000,1,1,1,1,21.4
2018,1575000,30000,2,1,1,1,17.6
2015,600000,63000,2,1,1,1,22.77
2016,720000,35000,2,1,1,1,15.96
2018,1575000,25000,2,1,1,1,17.6
2017,580000,30000,1,1,2,1,17.36
2018,1200000,35000,2,1,1,1,17.3
2018,350000,30000,1,1,1,1,23.01
2017,400000,12700,1,1,1,1,20.51
2018,700000,35000,2,1,1,1,21.5
2017,520000,30000,1,1,1,1,19.1
2017,850000,100000,2,1,1,1,14.1
2017,350000,34000,1,1,1,1,25.17
2015,285000,40000,1,1,1,1,23.95
2016,850000,58000,2,1,1,1,19.67
2018,700000,19100,1,1,1,1,19.0
2018,900000,25000,1,1,1,1,19.34
2016,220000,100000,1,1,1,1,21.1
2015,250000,80000,1,1,1,1,21.1
2018,480000,40000,1,1,1,1,20.14
2015,330000,70000,1,1,1,3,23.1
2017,550000,50000,1,1,1,1,18.6
2016,650000,30000,2,1,1,1,22.54
2017,445000,25000,1,1,1,1,18.9
2016,600000,100000,2,1,1,1,17.45
2018,1465000,110000,2,1,1,1,16.36
2018,560000,20000,1,1,1,1,21.4
2016,500000,30000,1,1,1,1,20.85
2015,434999,25000,1,1,1,2,20.85
2015,400000,100000,1,1,2,1,16.9
2015,470000,110000,2,1,1,1,26.59
2015,480000,60000,2,1,1,3,20.45
2017,325000,120000,2,1,1,1,27.28
2020,675000,5000,1,1,2,1,20.7
2017,1250000,90000,2,1,1,1,19.67
2016,650000,29000,1,1,1,1,18.6
2016,220000,90000,1,1,1,1,16.8
2018,450000,5000,1,1,1,1,23.84
2015,480000,30000,2,1,1,1,26.59
2016,650000,50000,2,1,2,2,26.59
2016,700000,40000,2,1,1,1,22.54
2015,650000,110000,2,1,1,3,20.77
2015,1300000,48000,2,1,1,2,19.67
2016,1350000,97000,2,1,2,1,16.96
2016,1000000,60000,2,1,2,1,22.15
2018,1080000,12800,1,1,2,1,17.8
2017,610000,49000,2,1,1,1,28.4
2016,260000,65000,1,1,1,2,22.74
2015,700000,20000,2,1,1,1,20.4
2018,678000,17000,1,1,1,1,18.78
2015,800000,15000,2,1,1,1,23.65
2016,520000,29000,1,1,1,1,18.6
2017,850000,55000,2,1,2,1,19.61
2019,1460000,5000,2,1,1,1,17.3
2017,830000,35000,2,1,1,1,21.5
2018,430000,5000,1,1,1,2,20.63
2017,850000,60000,2,1,1,1,22.77
2017,650000,70000,1,1,1,1,20.85
2016,730000,65100,2,1,1,2,18.49
2019,525000,20000,1,1,2,1,20.89
2015,600000,108000,2,1,1,1,21.19
2019,500000,15000,1,1,1,1,21.21
2015,409999,18500,1,1,1,1,20.51
2016,625000,120000,2,1,1,1,18.49
2015,290000,15200,1,1,1,1,25.17
2015,500000,35000,1,1,1,1,17.3
2017,2625000,9000,2,2,2,1,13.6
2019,5150000,20000,1,2,2,1,22.37
2017,3200000,45000,2,2,2,1,19.33
2015,503000,110000,2,1,1,1,14.1
2019,3800000,20000,2,1,2,1,18.0
2018,740000,38817,2,2,1,1,27.39
2018,600000,69779,1,2,2,1,22.0
2017,450000,56290,2,2,1,1,24.0
2019,5400000,7500,2,2,2,1,16.78
2019,5500000,8500,2,2,2,1,16.78
2016,645000,11000,1,2,2,1,14.3
2018,2475000,2000,2,2,2,1,16.8
2017,585000,50000,1,1,1,1,17.71
2017,500000,70000,2,1,1,1,25.8
2016,756000,70000,2,1,1,2,24.52
2019,800000,5000,1,1,1,1,17.19
2018,1250000,25000,2,1,1,1,17.6
2017,509999,25000,1,1,1,1,18.9
2019,650000,15000,2,1,1,1,22.95
2017,665000,25000,2,1,1,1,21.5
2017,555000,52000,2,1,1,1,21.66
2017,560000,52000,2,1,1,1,21.66
2016,375000,80000,2,1,1,1,25.32
2017,2950000,50000,2,1,2,1,15.04
2017,605000,127000,2,1,1,1,28.4
2017,720000,30000,1,1,1,1,17.5
2017,800000,70000,2,1,1,1,24.52
2017,1325000,54000,2,1,1,1,16.0
2016,377000,80000,2,1,1,1,25.83
2019,525000,100000,1,1,1,1,20.14
2016,570000,145000,2,1,1,2,23.59
2019,590000,90000,1,1,1,1,20.14
2018,1675000,80000,2,1,1,1,17.1
2019,800000,33000,1,2,1,1,19.4
2017,645000,20000,1,1,1,1,18.6
2015,700000,30000,1,1,1,1,17.4
2016,459999,73000,2,1,1,1,25.83
2015,350000,50000,1,1,1,2,20.51
2015,685000,30000,1,1,2,1,19.12
2015,670000,57000,2,1,1,2,15.4
2018,550000,5000,1,1,1,1,22.0
2016,749000,25000,1,1,1,1,17.01
2015,899000,80000,2,1,1,2,19.67
2015,350000,60000,1,1,1,1,20.62
2017,500000,43000,1,1,1,1,20.85
2016,260000,30000,1,1,1,1,25.17
2015,220000,40000,1,1,1,2,22.74
2016,400000,80000,1,1,1,1,18.9
2019,650000,3500,1,1,1,1,18.6
2016,465000,20000,1,1,1,1,20.51
2017,325000,38000,1,1,1,1,23.01
2018,3200000,50000,2,1,1,1,14.24
2016,340000,30000,1,1,1,1,21.1
2019,3800000,20000,2,1,2,1,18.0
2018,3250000,12000,2,1,2,1,10.91
2019,700000,4500,1,1,1,1,19.5
2018,3200000,60000,2,1,2,1,15.04
2018,1400000,30000,2,1,1,1,16.0
2015,416000,40000,1,1,2,1,17.01
2018,260000,30000,1,1,1,1,16.8
2018,1050000,70000,2,1,1,1,21.38
2018,700000,6000,1,1,1,1,18.6
2016,550000,20000,1,1,1,1,20.4
2017,450000,70000,2,1,1,1,19.09
2016,773000,65000,1,1,1,1,17.8
2017,450000,25000,1,1,1,1,23.84
2019,409999,10000,1,1,1,1,15.37
2019,690000,1303,1,2,1,1,17.8
2018,3975000,31800,2,2,2,1,17.01
2019,5150000,20000,1,2,2,1,22.37
2017,3200000,45000,2,2,2,1,19.33
2017,4100000,17000,1,1,2,1,9.5
2019,5400000,7500,2,2,2,1,16.78
2019,5500000,8500,2,2,2,1,16.78
2018,640000,6001,1,2,1,1,15.9
2018,1250000,12000,2,1,1,1,19.6
2017,889000,25000,1,1,1,1,17.0
2017,750000,40000,2,1,1,2,22.54
2018,1000000,40000,2,1,1,1,28.09
2015,600000,60000,2,1,1,1,26.59
2016,700000,78000,2,1,1,1,27.39
2016,570000,90000,1,1,1,1,20.4
2015,300000,71717,1,1,2,2,19.34
2016,660000,55000,2,1,1,1,26.59
2018,409999,35000,1,1,1,1,23.01
2015,1888000,120000,2,1,1,2,12.55
2016,900000,120000,2,1,1,1,14.1
2019,800000,2000,2,1,1,1,15.96
2015,400000,110000,2,1,1,1,14.95
2016,2280000,120000,2,1,2,2,10.91
2015,285000,70000,2,1,1,1,19.1
2017,660000,82000,2,1,1,1,18.49
2015,515000,45000,1,1,1,2,20.85
2015,700000,80000,2,1,1,2,20.45
2017,1100000,45000,2,1,1,1,15.4
2017,300000,60000,1,1,1,1,20.3
2017,700000,50000,2,1,1,2,28.4
2016,310000,15000,1,1,1,1,22.74
2018,444000,15000,1,1,1,1,21.1
2017,300000,25000,1,1,1,1,22.7
2015,375000,160000,2,1,1,1,24.4
2017,860000,28000,1,1,1,1,17.8
2018,650000,50000,2,1,1,1,28.4
2016,710000,40000,2,1,1,1,24.8
2017,430000,113000,2,1,1,1,25.83
2017,660000,67000,2,1,1,2,18.49
2015,1100000,50000,1,1,1,1,14.28
2017,625000,34000,2,1,2,1,22.0
2017,550000,10000,1,1,2,1,18.9
2018,475000,30000,1,1,1,1,21.63
2017,2825000,22000,2,2,2,1,15.73
2020,2125000,5500,2,2,1,1,26.8
2018,3350000,18000,2,2,2,1,19.62
2018,1800000,20000,2,2,2,1,11.36
2018,540000,7000,1,2,1,1,20.3
2018,910000,20000,2,2,1,1,17.0
2019,484999,4875,1,2,1,1,21.63
2020,1950000,2700,2,2,2,1,17.01
2018,950000,58511,2,2,1,1,24.3
2015,365000,105000,2,2,1,1,25.83
2018,900000,26235,2,2,1,1,16.55
2017,919999,26766,2,2,1,1,21.5
2020,1900000,1600,1,2,2,1,13.96
2018,2950000,46000,2,2,1,1,15.8
2019,1075000,23000,2,2,1,1,17.3
2017,600000,24522,1,2,1,1,20.4
2017,3200000,13663,2,2,2,1,22.69
2019,2600000,11000,2,2,2,1,19.3
2016,839000,63000,2,2,1,1,24.3
2019,635000,2000,1,2,1,1,16.2
2015,650000,80000,2,1,1,1,26.0
2015,265000,54000,1,1,1,1,23.95
2018,330000,30000,1,1,1,1,23.01
2019,395000,5000,1,1,1,1,15.37
2015,700000,58945,2,1,1,1,18.49
2015,250000,80000,2,1,1,2,19.09
2015,459999,156975,2,1,1,1,15.96
2017,1594000,5000,2,1,1,1,21.43
2018,950000,27620,2,2,1,1,22.77
2015,500000,58000,1,1,1,1,17.19
2017,550000,40000,1,1,2,1,20.89
2018,850000,7800,1,1,1,1,17.5
2016,240000,50000,1,1,1,1,22.74
2015,423000,60000,1,1,1,2,16.02
2015,450000,70000,1,1,1,1,18.16
2016,511000,80000,2,1,1,1,22.54
2018,850000,59000,2,1,1,1,24.2
2018,250000,110000,2,1,1,1,25.0
2020,420000,25000,1,1,1,1,21.63
2015,400000,25000,2,1,1,1,27.62
2016,500000,143200,2,1,1,1,25.83
2017,1689999,60000,2,1,1,1,17.1
2017,600000,30000,1,1,1,1,18.6
2019,585000,8000,1,1,1,1,18.9
2015,600000,80000,2,1,1,2,13.58
2015,650000,120000,2,1,1,1,15.96
2019,750000,24000,2,1,1,1,28.4
2017,380000,80000,2,1,1,1,25.32
2017,750000,60000,2,1,1,1,18.49
2016,245000,50000,1,1,1,1,22.74
2016,351000,60000,1,1,1,1,23.1
2016,351000,60000,1,1,1,1,23.1
2016,750000,35000,2,1,1,1,20.45
2015,800000,35000,2,1,1,1,20.45
2016,800000,36000,2,1,1,1,19.01
2017,350000,20000,1,1,1,2,21.1
2018,395000,10800,1,1,1,1,25.17
2019,500000,15000,1,1,1,1,20.89
2017,1200000,30000,2,1,1,1,17.6
2016,400000,50000,2,1,1,1,25.32
2016,650000,100000,2,1,1,1,18.49
2016,550000,150000,2,1,1,1,15.96
2015,1100000,110000,2,1,1,1,16.0
2015,270000,49900,1,1,1,2,22.74
2015,225000,71850,1,1,1,1,20.63
2015,300000,95000,2,1,1,3,21.2
2015,550000,50000,1,1,1,1,20.85
2015,900000,145000,2,1,1,1,22.7
2018,1530000,40000,2,1,1,1,16.0
2015,590000,110000,2,1,1,1,27.39
2017,2600000,70000,2,1,2,1,20.38
2016,475000,110000,2,1,1,1,23.2
2018,700000,29000,2,1,1,1,24.0
2016,390000,80000,1,1,1,1,20.51
2015,484999,75000,2,2,1,1,19.87
2018,650000,22000,1,1,1,2,21.56
2018,700000,30000,1,1,1,2,18.6
2018,900000,60000,2,1,1,1,15.4
2017,750000,51777,2,2,1,1,24.3
2018,600000,20000,1,1,1,1,19.5
2018,565000,19000,1,1,1,1,18.78
2016,329000,19000,1,1,1,1,20.63
2016,650000,50000,2,1,1,1,22.77
2015,822000,60000,2,1,1,1,19.67
2016,550000,35000,2,1,1,1,24.4
2015,250000,23500,1,1,1,1,18.6
2017,975000,82000,2,1,1,1,25.6
2018,610000,15000,1,1,1,1,18.6
2017,620000,30000,2,1,1,1,27.39
2016,400000,30000,1,1,1,1,18.9
2019,500000,11000,1,1,1,1,21.63
2017,200000,140000,1,1,1,1,19.02
2016,360000,110000,2,1,1,1,23.0
2018,509999,70000,1,1,1,2,22.0
2016,1050000,58000,2,1,1,1,15.4
2017,725000,60000,2,1,1,1,24.3
2015,585000,50000,2,1,1,1,15.96
2017,430000,25000,1,1,1,1,23.84
2016,450000,85000,2,1,1,1,25.8
2016,750000,83000,2,1,1,1,24.3
2017,690000,60000,2,1,1,1,16.5
2016,400000,25000,1,1,1,1,23.1
2018,950000,13887,1,1,1,1,17.0
2016,300000,50000,1,1,1,2,22.74
2016,315000,30000,1,1,1,2,25.17
2016,595000,60000,2,1,1,2,22.54
2017,680000,13500,1,1,1,1,17.0
2017,530000,30000,1,1,1,2,21.4
2017,610000,14000,1,1,1,1,19.1
2018,500000,50000,2,1,1,1,24.7
2018,325000,10000,1,1,1,1,21.1
2018,550000,10000,1,1,1,1,21.4
2018,720000,25000,1,1,1,1,20.73
2017,950000,20000,1,1,1,1,17.0
2018,500000,40000,1,1,1,1,18.9
2015,380000,50000,1,1,2,1,16.9
2017,900000,20000,1,1,1,1,17.0
2017,295000,35000,1,1,1,1,24.7
2016,640000,40000,2,1,1,1,28.09
2018,790000,60000,2,1,1,1,21.5
2015,625000,20000,1,1,1,1,17.01
2017,604000,30000,1,1,1,2,17.0
2015,315000,29000,1,1,1,1,23.95
2019,950000,17000,2,1,1,1,20.0
2017,400000,50000,1,1,1,1,20.51
2018,700000,42000,1,1,2,1,18.6
2020,580000,70000,1,1,1,1,23.26
2018,1350000,5000,1,1,2,1,14.8
2019,725000,25000,1,1,1,1,15.41
2016,1175000,110000,2,1,1,1,16.0
2017,265000,40000,1,1,1,2,16.8
2015,280000,80000,1,1,1,1,22.74
2015,350000,50000,1,1,1,1,18.2
2018,550000,24400,1,1,1,1,22.0
2015,600000,60000,2,1,1,2,24.8
2016,310000,27500,1,1,1,1,25.17
2015,650000,80000,2,1,1,1,22.54
2015,509999,90000,2,1,1,1,24.4
2016,225000,35000,1,1,1,2,22.74
2017,775000,100000,2,1,1,1,24.3
2017,420000,30000,1,1,1,1,20.51
2016,480000,70000,1,1,1,1,18.9
2018,600000,15000,1,1,1,1,16.2
2018,575000,70000,1,1,1,1,17.0
2015,550000,41000,1,1,1,1,18.6
2015,320000,30000,1,1,1,1,23.95
2018,750000,70000,2,1,1,1,16.5
2019,577000,3000,1,1,1,1,20.89
2019,840000,1500,1,1,2,1,18.2
2017,900000,74000,2,1,1,1,22.27
2017,650000,25000,1,1,1,1,18.7
2016,650000,61915,2,1,1,1,27.3
2016,250000,110000,1,1,1,1,21.1
2016,550000,70000,2,1,1,1,20.14
2016,1000000,65000,2,1,1,1,12.99
2019,490000,10000,1,1,1,1,20.52
2015,465000,63063,1,2,2,1,18.9
2017,300000,8000,1,1,1,1,21.1
2018,700000,6200,1,1,1,1,19.34
2020,250000,120000,1,1,1,2,21.63
2016,350000,70000,1,1,1,1,20.51
2017,850000,110000,2,1,1,1,15.4
2018,946000,60000,2,1,1,1,22.1
2015,650000,50000,1,1,1,1,17.19
2016,490000,26000,1,1,1,1,18.9
2019,459999,10000,1,1,1,1,23.84
2015,275000,16700,1,1,1,1,22.74
2018,680000,70000,2,1,1,1,28.4
2015,600000,7967,1,1,1,1,20.85
2018,720000,20000,1,1,1,1,22.0
2016,356000,9656,1,1,1,1,25.17
2019,725000,17000,2,1,1,1,24.4
2015,300000,10000,1,1,1,1,25.17
2019,610000,5000,1,1,1,1,21.21
2016,515000,68609,2,2,1,1,22.7
2018,925000,33360,2,2,1,1,22.77
2019,860000,14317,1,2,1,1,14.23
2017,500000,62960,2,2,1,1,25.83
2017,600000,26634,1,2,2,1,21.21
2018,650000,20706,2,2,1,1,23.8
2015,415000,100581,2,2,1,1,25.83
2015,600000,67303,2,2,1,1,20.45
2017,625000,72000,2,1,1,1,13.93
2018,955000,40000,2,1,1,1,24.52
2017,550000,30000,1,1,1,1,20.3
2017,500000,15000,1,1,1,1,18.16
2016,825000,33500,2,1,1,1,23.65
2015,600000,10000,1,1,1,1,18.16
2018,1325000,22053,2,1,1,1,16.36
2016,770000,50000,2,1,1,1,18.49
2018,530000,80000,2,1,1,1,26.1
2017,390000,20000,1,1,1,1,23.84
2016,700000,30000,1,1,1,1,15.29
2019,660000,35000,2,1,1,1,22.95
2015,630000,117500,1,1,1,2,17.4
2018,740000,8000,1,1,1,1,18.6
2017,570000,25000,1,1,1,1,18.12
2019,390000,10000,1,1,1,1,22.5
2015,130000,60000,1,1,1,1,25.4
2015,978999,90000,2,1,1,1,19.67
2018,490000,25000,1,1,1,1,23.84
2018,390000,25000,1,1,1,1,23.84
2016,640000,80000,2,1,1,2,24.52
2015,650000,110000,2,1,1,2,15.4
2019,630000,4000,1,1,1,1,21.21
2016,550000,55000,2,1,1,1,26.59
2020,950000,5000,1,1,2,1,17.0
2019,1250000,100000,2,1,1,1,14.1
2015,600000,90000,2,1,1,3,20.77
2016,220000,46702,1,2,1,1,16.8
2016,220000,46706,1,2,1,1,16.8
2016,850000,80000,2,1,2,2,16.0
2016,750000,70000,2,1,1,1,24.52
2017,265000,90000,1,1,1,1,23.01
2015,1125000,70000,2,1,1,1,15.4
2017,660000,45000,2,1,1,1,16.5
2015,240000,50000,1,1,1,2,23.95
2017,275000,58000,1,1,1,1,24.7
2017,850000,162000,2,1,1,1,14.1
2018,555000,25000,1,1,1,2,18.6
2015,825000,60000,2,1,1,1,15.4
2015,900000,68000,2,1,1,1,12.99
2017,459999,70000,1,1,1,1,18.9
2016,400000,60000,2,1,1,3,23.2
2016,350000,65300,1,1,1,2,18.9
2018,600000,40000,1,1,1,1,18.6
2019,399000,10000,1,1,1,1,23.95
2017,290000,30000,1,1,1,1,22.7
2017,500000,27500,1,1,1,1,18.9
2017,650000,75000,2,1,1,1,26.59
2018,380000,5000,1,1,1,1,23.01
2015,520000,70000,2,1,1,1,26.59
2015,610000,60000,2,1,1,1,26.59
2015,229999,34000,1,1,1,2,21.1
2015,411000,25000,1,1,1,1,18.9
2019,499000,5000,1,1,2,1,20.3
2018,358000,44000,1,1,1,1,15.37
2019,1300000,20000,1,1,2,1,17.4
2018,825000,40000,2,1,1,1,25.8
2018,490000,7000,1,1,1,1,20.3
2018,1050000,15000,2,1,1,1,16.0
2016,210000,50000,1,1,1,1,18.6
2016,1250000,30000,2,1,1,1,15.4
2015,620000,140000,2,1,1,2,20.45
2017,530000,50000,1,1,1,1,18.9
2015,550000,40000,2,1,1,1,23.59
2015,600000,60000,2,1,1,2,13.49
2016,426000,110000,1,1,1,1,18.15
2017,310000,20000,1,1,1,1,24.7
2019,380000,15000,1,1,1,1,25.17
2019,740000,14000,2,1,1,1,16.5
2016,260000,35000,1,1,1,1,22.7
2017,320000,32000,1,1,1,2,23.95
2018,650000,35000,1,1,1,1,22.0
2017,651000,32500,2,1,1,2,28.4
2019,380000,14000,1,1,2,1,23.95
2019,1270000,20000,1,1,2,1,17.0
2015,405000,100000,2,1,1,1,25.2
2015,850000,64800,2,1,1,1,15.1
2017,680000,90000,2,1,1,1,16.5
2015,525000,248000,2,1,1,1,24.8
2015,869999,120000,2,1,1,1,22.7
2016,700000,86000,2,1,1,1,24.3
2015,345000,60000,2,1,1,1,24.0
2015,390000,50000,1,1,1,1,18.0
2015,275000,20000,1,1,1,1,20.63
2017,500000,20000,1,1,1,1,18.9
2018,650000,53000,2,1,1,1,20.14
2018,1031000,60000,2,1,1,1,25.6
2018,330000,70000,1,1,1,1,20.3
2019,399000,4000,1,1,1,1,20.3
2017,600000,20000,2,1,1,1,24.0
2016,611000,77000,2,1,1,1,22.54
2015,500000,125000,2,1,1,1,23.59
2019,1575000,18000,2,1,1,1,15.1
2015,511000,30000,1,1,1,1,18.9
2020,1500000,40000,1,1,2,1,10.75
2018,550000,30000,1,1,1,1,21.4
2017,325000,3564,1,1,1,1,23.95
2015,525000,80000,2,1,1,1,26.59
2018,1050000,13000,2,1,1,1,17.0
2017,2625000,9000,2,2,2,1,13.6
2019,5150000,20000,1,2,2,1,22.37
2017,3200000,45000,2,2,2,1,19.33
2015,503000,110000,2,1,1,1,14.1
2019,3800000,20000,2,1,2,1,18.0
2018,740000,38817,2,2,1,1,27.39
2018,600000,69779,1,2,2,1,22.0
2017,450000,56290,2,2,1,1,24.0
2019,5400000,7500,2,2,2,1,16.78
2019,5500000,8500,2,2,2,1,16.78
2016,645000,11000,1,2,2,1,14.3
2018,2475000,2000,2,2,2,1,16.8
2016,350000,17000,1,1,2,1,23.1
2018,500000,40000,1,1,2,1,22.0
2018,340000,20000,1,1,1,1,25.17
2020,330000,70000,1,1,1,2,18.9
2015,1850000,30000,2,1,2,2,12.55
2016,400000,110000,2,1,1,1,24.4
2015,1000000,35000,2,1,1,1,15.4
2017,850000,110000,2,1,1,1,15.4
2017,2625000,9000,2,2,2,1,13.6
2019,5150000,20000,1,2,2,1,22.37
2017,3200000,45000,2,2,2,1,19.33
2015,503000,110000,2,1,1,1,14.1
2019,3800000,20000,2,1,2,1,18.0
2018,740000,38817,2,2,1,1,27.39
2018,600000,69779,1,2,2,1,22.0
2017,450000,56290,2,2,1,1,24.0
2019,5400000,7500,2,2,2,1,16.78
2019,5500000,8500,2,2,2,1,16.78
2016,645000,11000,1,2,2,1,14.3
2018,2475000,2000,2,2,2,1,16.8
2015,550000,120000,2,1,1,2,24.5
2015,925000,60000,2,1,1,1,14.0
2015,500000,36000,1,1,1,1,17.19
2019,1050000,27000,2,1,1,1,21.38
2020,415000,15000,1,1,1,1,15.37
2018,680000,120000,2,1,1,1,28.4
2016,270000,60000,1,1,1,2,22.74
2018,764000,25000,1,1,1,1,20.73
2019,710000,30000,2,1,1,1,15.96
2017,310000,35000,1,1,1,1,24.7
2017,620000,100000,2,1,1,2,16.5
2017,280000,31000,1,1,1,2,21.1
2015,1500000,80000,2,1,2,2,12.55
2016,450000,40000,1,1,1,1,18.9
2017,2199000,10000,2,1,2,2,17.9
2017,600000,35000,1,1,1,1,17.5
2017,570000,35000,1,1,1,1,21.4
2016,325000,20000,1,1,1,1,23.95
2016,975000,54000,2,1,2,1,16.0
2015,480000,60000,1,1,1,1,18.6
2015,1050000,50000,2,1,2,1,17.01
2019,760000,3000,1,1,1,1,21.01
2019,570000,5000,1,1,1,1,18.78
2018,700000,13000,1,1,1,1,21.4
2015,775000,30000,1,1,2,1,15.63
2016,220000,40000,1,1,1,1,22.74
2017,440000,50000,1,1,1,2,18.6
2017,650000,80000,2,1,1,1,21.19
2017,660000,50000,2,1,2,1,18.49
2016,750000,35000,2,1,1,1,18.49
2016,400000,80000,1,1,1,2,18.9
2015,600000,25000,2,1,1,1,25.8
2016,350000,50000,1,1,1,1,19.44
2017,620000,31000,2,1,1,1,25.4
2017,570000,120000,2,1,1,1,26.59
2016,711000,120000,2,1,1,1,24.52
2020,550000,15000,1,1,1,1,23.26
2018,670000,93000,2,1,1,1,27.4
2017,385000,42000,1,1,1,2,19.81
2019,860000,6500,2,1,2,1,24.3
2018,600000,60000,2,1,1,1,27.39
2016,265000,110000,1,1,1,1,23.95
2019,900000,60000,2,1,1,1,25.1
2015,650000,40000,1,1,1,1,17.01
2017,675000,70000,2,1,1,2,15.96
2017,250000,50000,1,1,1,1,21.1
2017,328000,68000,1,1,1,2,23.84
2015,509999,65000,2,1,1,1,15.96
2015,575000,110000,2,1,1,2,14.02
2015,229999,120000,2,1,1,2,19.1
2017,650000,20000,1,1,1,1,18.6
2015,570000,93000,2,1,1,2,24.5
2015,525000,134000,2,1,1,1,25.2
2017,1325000,30000,2,1,1,1,17.1
2017,650000,22200,2,1,1,1,22.54
2018,520000,6000,1,1,1,1,18.9
2016,500000,32000,1,1,1,1,20.4
2016,220000,90000,1,1,1,1,25.17
2017,650000,78000,2,1,1,3,28.09
2017,819999,12000,1,1,1,1,17.5
2016,645000,120000,2,1,1,1,19.87
2015,780000,40000,2,1,1,1,24.52
2016,250000,41000,1,1,1,1,25.17
2018,200000,25000,1,1,1,1,16.8
2015,380000,30000,1,1,1,1,19.1
2018,560000,50000,2,1,1,1,25.8
2018,575000,10000,1,1,1,1,20.89
2017,620000,40000,2,1,1,1,16.5
2017,635000,40000,2,1,1,1,26.59
2016,650000,80000,2,1,1,1,19.72
2017,550000,70000,2,1,1,2,25.83
2017,825000,79000,2,2,1,1,25.47
2015,1650000,91000,2,2,2,2,12.55
2018,875000,50000,2,2,1,1,24.3
2016,650000,81000,2,2,1,2,28.09
2018,2850000,27000,2,2,2,1,17.05
2018,2800000,26000,2,2,2,1,15.73
2018,3900000,17100,2,2,2,1,22.48
2019,1450000,22000,1,2,2,1,16.0
2017,850000,30000,1,2,2,1,15.4
2015,560000,43001,2,2,1,1,22.27
2015,575000,60000,2,2,1,1,25.47
